Gender,Chain,PaymentMethod,Occupation,Age,FamilySize,Income,PurchaseAmount
Female,Regional C,Check,Professional,33,4,83900,161.55
Male,Major B,Check,Professional,40,1,37400,161.55
Male,Major A,Cash,Other,74,1,21600,161.54
Male,Major A,Cash,Service,78,2,57100,161.48
Female,Major B,StoreCard,Other,33,3,56800,161.47
Male,Other,Cash,Retired,56,2,55500,161.42
Male,Major B,Check,Retired,27,2,43900,161.38
Female,Major B,Check,Professional,27,4,72100,161.37
Male,Regional D,Check,Other,51,1,4300,161.36
Female,Major E,StoreCard,Owners,38,3,58200,161.29
Female,Major E,StoreCard,Other,41,1,22700,161.26
Male,Regional D,Check,Retired,41,4,88200,161.19
Male,Major B,Check,Professional,37,1,11950,161.14
Male,Other,StoreCard,Skilled,72,4,47800,161.02
Female,Other,Check,Laborer,65,3,14400,160.98
Female,Major B,Check,Owners,26,2,52000,160.91
Female,Other,Cash,Other,49,6,40100,160.78
Female,Major E,DebitCard,Owners,31,5,54700,160.62
Male,Other,Cash,Skilled,24,3,36100,160.62
Female,Major E,StoreCard,Farm,47,4,32300,160.58
Female,Regional C,Cash,Professional,37,2,69800,160.57
Female,Regional C,Cash,Service,50,1,53900,160.49
Female,Regional C,Cash,Retired,73,1,36900,160.47
Male,Major A,Cash,Owners,30,3,45600,160.47
Female,Major D,StoreCard,Other,22,1,50800,160.46
Female,Major A,Cash,Retired,61,2,9550,160.37
Male,Other,Cash,Other,26,2,23600,160.37
Male,Other,Check,Retired,65,2,38300,160.17
Female,Major E,Check,Professional,68,3,20000,160.07
Female,Major A,Cash,Professional,84,4,37800,159.92
Female,Major A,DebitCard,Skilled,27,3,17700,159.88
Male,Major D,Check,Skilled,67,4,33700,159.82
Male,Other,Cash,Professional,53,2,27000,159.76
Male,Major D,Cash,Skilled,67,3,39700,159.74
Male,Major B,Check,Other,74,2,18800,159.73
Male,Major A,Check,Retired,27,2,48600,159.72
Male,Regional C,StoreCard,Sales,37,3,57100,159.61
Female,Major E,StoreCard,Retired,73,2,22500,159.57
Female,Major D,Check,Skilled,39,1,61200,159.52
Female,Major A,Cash,Other,44,2,55400,159.51
Female,Major A,Cash,Skilled,41,3,63900,159.49
Female,Major D,Cash,Professional,40,1,9850,159.45
Male,Major A,Cash,Clerical,36,4,57600,159.37
Female,Major A,DebitCard,Other,54,3,73900,159.31
Male,Regional D,StoreCard,Retired,63,3,66200,159.28
Female,Regional C,Cash,Other,36,2,31100,159.27
Male,Major A,Cash,Sales,40,3,68200,159.14
Male,Regional A,Cash,Retired,36,2,2400,159.11
Female,Regional D,Cash,Service,47,5,32400,159.09
Male,Major A,Cash,Other,51,1,53100,159.05
Male,Regional D,Other,Other,51,1,3300,158.99
Male,Minor D,Check,Professional,29,6,14400,158.96
Female,Major A,Cash,Service,34,1,88200,158.92
Female,Major D,Check,Other,39,8,29200,158.91
Female,Major D,Cash,Retired,30,2,41600,158.89
Female,Major B,Cash,Retired,60,2,4900,158.85
Male,Major A,Cash,Other,68,2,10350,158.83
Female,Major E,StoreCard,Professional,26,2,52100,158.78
Female,Major A,Cash,Retired,22,1,50100,158.7
Female,Regional D,Cash,Service,34,6,36700,158.65
Male,Major B,DebitCard,Other,72,6,0,158.5
Female,Major A,Cash,Skilled,49,6,3600,158.49
Female,Other,Cash,Retired,53,2,75600,158.48
Female,Major D,Check,Professional,45,3,10850,158.45
Female,Regional C,Cash,Other,80,3,7650,158.4
Male,Other,Check,Other,61,3,12550,158.39
Female,Major B,StoreCard,Skilled,26,2,4900,158.38
Female,Major A,Cash,Other,26,5,29700,158.37
Female,Major A,Cash,Other,27,3,27200,158.3
Female,Regional A,StoreCard,Owners,60,3,39700,158.27
Male,Regional A,Check,Owners,51,5,41900,158.27
Male,Major A,DebitCard,Owners,72,2,58100,158.26
Female,Major A,DebitCard,Professional,47,6,27900,158.14
Female,Other,Check,Skilled,39,3,55100,158.14
Female,Major A,Cash,Retired,26,1,47200,158.09
Female,Major E,StoreCard,Retired,60,3,66000,158.05
Female,Major E,Cash,Skilled,53,2,27700,158.04
Male,Other,StoreCard,Other,71,1,0,158.03
Female,Major A,DebitCard,Owners,47,2,61300,157.92
Female,Other,Check,Other,48,7,60500,157.92
Male,Other,DebitCard,Skilled,44,3,50900,157.86
Female,Other,StoreCard,Retired,51,2,84600,157.72
Male,Regional C,Check,Sales,38,2,30300,157.72
Female,Major D,Check,Owners,48,4,20100,157.59
Male,Major A,Check,Skilled,43,4,55800,157.58
Male,Major B,StoreCard,Other,55,1,12500,157.55
Female,Major B,Cash,Other,54,2,12950,157.53
Female,Major B,Cash,Retired,44,4,29100,157.49
Male,Other,Cash,Other,52,4,52900,157.43
Male,Major E,StoreCard,Sales,47,3,83700,157.41
Male,Regional D,Cash,Service,72,2,68300,157.34
Female,Other,Cash,Skilled,42,2,87100,157.3
Male,Regional D,StoreCard,Other,80,3,23900,157.19
Female,Major B,StoreCard,Owners,23,5,33000,157.18
Female,Regional C,Check,Other,54,4,200,157.16
Female,Major D,StoreCard,Service,39,3,21300,157.14
Male,Major A,Cash,Retired,70,2,16400,157.11
Male,Other,StoreCard,Owners,44,3,34500,157.11
Male,Major E,Check,Service,57,5,1400,157.1
Female,Major B,DebitCard,Skilled,30,4,4000,157
Female,Other,Check,Owners,50,3,76500,156.97
Male,Major A,Cash,Owners,46,4,55300,156.96
Female,Major A,Cash,Other,41,2,42000,156.94
Male,Other,Cash,Other,76,1,52700,156.91
Female,Regional C,Check,Professional,38,2,30300,156.84
Female,Major D,Cash,Skilled,47,5,26900,156.84
Male,Regional D,Cash,Service,40,4,13400,156.84
Female,Major E,Cash,Service,40,3,5900,156.82
Female,Major A,Cash,Other,72,1,14650,156.81
Male,Major E,StoreCard,Retired,73,2,30700,156.77
Female,Major A,Cash,Retired,22,2,26900,156.75
Female,Regional A,Check,Owners,53,1,70300,156.75
Male,Major B,DebitCard,Other,72,6,600,156.75
Female,Other,DebitCard,Retired,75,2,22000,156.73
Male,Major B,Check,Other,54,2,14550,156.72
Male,Major B,StoreCard,Skilled,28,2,74400,156.68
Female,Other,Cash,Owners,69,4,19200,156.58
Female,Regional D,StoreCard,Other,67,7,29900,156.58
Female,Major B,Cash,Retired,54,2,45300,156.58
Female,Regional D,Cash,Other,68,2,12700,156.57
Male,Other,Cash,Other,34,4,88700,156.52
Male,Regional C,Check,Sales,49,4,16100,156.48
Male,Major B,Cash,Military,38,3,48500,156.39
Female,Major B,StoreCard,Professional,38,1,9050,156.29
Female,Major D,StoreCard,Owners,24,3,38400,156.28
Female,Major E,StoreCard,Professional,38,4,23000,156.27
Male,Major E,StoreCard,Owners,70,2,28100,156.27
Female,Regional B,Cash,Skilled,34,4,0,156.26
Male,Regional D,Cash,Farm,25,5,7250,156.2
Male,Major B,Cash,Other,72,1,34900,156.2
Female,Regional D,StoreCard,Retired,37,2,0,156.19
Male,Major B,Cash,Other,51,3,100,156.1
Female,Other,Cash,Clerical,40,4,37700,156.06
Female,Major B,Cash,Service,35,1,66000,156.05
Male,Major A,DebitCard,Service,56,5,26400,156.04
Female,Major A,DebitCard,Professional,23,5,15100,156
Male,Major A,Cash,Other,34,3,4650,156
Female,Regional C,StoreCard,Service,59,4,60700,155.92
Female,Major A,Cash,Owners,28,2,34500,155.87
Female,Other,Cash,Skilled,65,3,72700,155.84
Female,Major A,DebitCard,Skilled,78,3,42400,155.7
Male,Major E,Cash,Owners,69,2,50800,155.65
Female,Major D,StoreCard,Other,48,3,40300,155.63
Female,Major E,StoreCard,Other,43,2,4950,155.62
Male,Major B,Cash,Other,39,3,62700,155.6
Female,Major B,StoreCard,Clerical,49,2,33400,155.59
Male,Other,DebitCard,Professional,65,5,22700,155.48
Female,Major D,StoreCard,Owners,48,2,22700,155.44
Female,Major E,DebitCard,Professional,41,3,0,155.3
Male,Regional C,DebitCard,Owners,78,5,46000,155.3
Female,Major A,Cash,Other,51,2,21400,155.29
Male,Major A,Cash,Retired,33,2,57700,155.27
Female,Major D,Check,Professional,30,5,60400,155.26
Female,Regional C,Cash,Other,38,2,51900,155.24
Male,Major B,DebitCard,Sales,49,4,37200,155.24
Male,Major A,Cash,Other,72,1,34400,155.14
Female,Major B,StoreCard,Sales,80,4,16550,155.13
Female,Major D,StoreCard,Professional,65,3,42100,155.11
Male,Major D,Check,Other,51,2,13700,155.09
Male,Regional D,StoreCard,Other,62,1,21100,155.03
Male,Regional C,Cash,Other,68,2,50100,155
Male,Major B,StoreCard,Owners,44,2,59500,154.97
Female,Regional C,StoreCard,Professional,35,3,15800,154.92
Female,Major E,Check,Clerical,58,2,44700,154.92
Male,Other,Cash,Professional,59,6,88100,154.92
Female,Regional C,Cash,Other,37,4,44000,154.86
Male,Major D,Check,Professional,31,4,85200,154.81
Male,Major A,Cash,Other,51,2,56500,154.74
Male,Regional D,Check,Military,34,3,50700,154.6
Male,Major A,Cash,Service,52,4,18100,154.49
Male,Major B,StoreCard,Service,23,3,24300,154.48
Female,Regional D,StoreCard,Professional,68,5,41900,154.42
Male,Major B,Check,Professional,32,3,92100,154.42
Female,Major D,Check,Professional,42,2,83900,154.39
Female,Other,Cash,Skilled,34,4,91600,154.26
Male,Major B,StoreCard,Clerical,81,2,7000,154.23
Male,Major D,StoreCard,Professional,62,2,0,154.22
Male,Major B,StoreCard,Professional,66,2,25800,154.21
Male,Major B,Check,Professional,53,1,51700,154.19
Female,Other,Other,Retired,64,2,23800,154.18
Female,Regional B,Cash,Military,29,1,51300,154.15
Male,Major D,Check,Other,64,2,92300,153.99
Male,Regional C,DebitCard,Retired,32,1,38800,153.95
Male,Major D,DebitCard,Laborer,50,4,60000,153.85
Male,Major A,Cash,Retired,20,1,61700,153.82
Male,Major A,Cash,Clerical,51,4,1700,153.81
Male,Other,Cash,Sales,28,5,20100,153.75
Male,Major E,StoreCard,Retired,50,2,82700,153.65
Female,Major B,StoreCard,Owners,47,6,41000,153.64
Male,Other,Cash,Other,51,6,83900,153.62
Male,Major B,Cash,Laborer,72,2,21800,153.61
Male,Major E,StoreCard,Professional,44,3,82800,153.57
Female,Other,Cash,Owners,27,1,12150,153.56
Female,Major A,Cash,Skilled,31,3,29800,153.55
Female,Major D,Check,Other,32,2,64500,153.46
Female,Regional C,Check,Other,44,2,25700,153.38
Female,Major E,Cash,Retired,39,4,48600,153.38
Female,Regional B,Check,Other,27,5,34300,153.37
Female,Other,Cash,Retired,61,2,13900,153.23
Male,Other,Cash,Retired,74,1,57200,153.21
Male,Regional A,Cash,Professional,33,3,11450,153.14
Female,Major E,Cash,Owners,62,2,91200,153.11
Female,Major A,Cash,Professional,22,1,20200,153.09
Female,Major E,Cash,Retired,32,1,21600,153.08
Male,Regional D,Check,Retired,62,2,87300,153.03
Male,Regional C,Check,Professional,32,4,85800,152.99
Male,Major B,Check,Professional,81,4,10650,152.96
Male,Major A,Cash,Retired,46,2,12150,152.95
Male,Major E,StoreCard,Farm,47,4,22400,152.95
Male,Major B,Cash,Other,55,2,10450,152.92
Male,Regional C,StoreCard,Professional,51,4,57300,152.91
Female,Major D,Check,Retired,86,2,8150,152.86
Male,Regional C,DebitCard,Retired,43,2,46700,152.83
Female,Other,Cash,Other,25,1,51900,152.76
Female,Major B,Check,Sales,34,1,64400,152.68
Female,Major A,Cash,Skilled,50,6,51400,152.65
Female,Other,Cash,Owners,49,2,3400,152.58
Female,Major B,Cash,Other,29,5,19100,152.56
Female,Major B,DebitCard,Other,28,3,52100,152.56
Female,Major B,StoreCard,Other,34,4,32700,152.55
Female,Major A,Cash,Retired,42,2,68000,152.52
Male,Major A,DebitCard,Skilled,84,4,20300,152.51
Female,Major B,Cash,Other,45,2,87900,152.49
Female,Regional D,StoreCard,Owners,80,5,23600,152.48
Male,Regional C,DebitCard,Skilled,20,3,20300,152.4
Female,Major D,DebitCard,Professional,72,2,52500,152.35
Male,Major D,Check,Professional,61,3,20700,152.33
Male,Major B,StoreCard,Skilled,44,4,36200,152.33
Female,Major A,Cash,Professional,37,1,8750,152.32
Female,Major B,StoreCard,Sales,49,2,35900,152.27
Male,Other,Cash,Other,40,3,51200,152.24
Female,Major A,Cash,Other,30,4,30400,152.15
Male,Major A,Cash,Retired,62,2,67700,152.12
Female,Other,StoreCard,Skilled,51,5,54600,152.09
Male,Major A,Cash,Retired,68,2,52300,152.09
Male,Major B,StoreCard,Clerical,52,4,400,151.87
Female,Major A,DebitCard,Laborer,33,2,65900,151.74
Female,Major B,StoreCard,Professional,39,3,36900,151.73
Female,Other,Cash,Skilled,51,5,58100,151.73
Female,Major E,Cash,Skilled,30,5,69100,151.71
Female,Major A,DebitCard,Retired,28,2,31800,151.69
Male,Major E,Check,Other,69,2,18300,151.69
Male,Major D,DebitCard,Other,64,2,25000,151.69
Female,Regional C,StoreCard,Skilled,28,8,29300,151.65
Male,Major A,Cash,Professional,38,2,29300,151.65
Male,Major A,Cash,Retired,62,2,91400,151.64
Female,Major B,Check,Other,35,1,49900,151.63
Female,Major B,StoreCard,Owners,31,2,63000,151.61
Male,Regional C,StoreCard,Skilled,66,3,58600,151.58
Male,Major D,Check,Other,57,1,15200,151.55
Female,Major E,StoreCard,Professional,24,2,37100,151.49
Male,Major A,Cash,Retired,28,3,28200,151.49
Female,Major A,Cash,Professional,38,2,28300,151.48
Female,Regional D,StoreCard,Owners,38,5,74100,151.42
Female,Major A,Cash,Skilled,35,2,39900,151.37
Female,Major D,StoreCard,Clerical,81,2,9600,151.33
Female,Major D,Check,Service,65,4,15900,151.33
Female,Other,Cash,Retired,57,2,22300,151.33
Male,Major B,Cash,Other,27,2,28900,151.25
Female,Regional B,Check,Other,25,1,69600,151.23
Male,Major B,Cash,Other,76,3,55100,151.21
Female,Major D,Cash,Other,34,2,57400,151.18
Male,Major D,Check,Other,53,5,22000,151.16
Male,Regional C,StoreCard,Professional,51,2,64100,151.08
Female,Major A,Cash,Other,40,1,33600,151.03
Female,Major D,Check,Skilled,74,5,8450,151.02
Female,Major B,Cash,Other,27,4,9250,151
Female,Major B,Cash,Other,53,2,56500,150.96
Female,Regional C,StoreCard,Owners,36,2,0,150.92
Male,Major D,Check,Owners,59,4,28100,150.92
Female,Other,Cash,Laborer,72,5,4050,150.88
Male,Major A,Cash,Other,68,2,38600,150.88
Male,Regional D,Check,Professional,24,4,51000,150.88
Female,Major E,Check,Other,62,1,21600,150.87
Male,Regional C,Other,Owners,27,2,38000,150.85
Female,Major B,Check,Owners,40,3,29300,150.83
Male,Major B,Cash,Owners,42,6,41700,150.82
Female,Major D,Check,Other,57,2,56500,150.8
Male,Major B,Check,Professional,37,3,69100,150.79
Female,Regional C,Cash,Professional,37,2,61900,150.74
Female,Major D,Check,Other,32,3,67600,150.72
Female,Major D,Cash,Owners,81,2,82600,150.72
Male,Major B,StoreCard,Professional,50,4,11150,150.7
Female,Major E,StoreCard,Other,62,1,51200,150.65
Female,Major A,Cash,Other,23,5,20600,150.62
Male,Regional C,Cash,Retired,32,1,46900,150.62
Male,Major E,StoreCard,Sales,29,2,32800,150.58
Male,Major A,Cash,Other,70,1,48100,150.58
Female,Major A,Cash,Retired,62,2,69200,150.53
Male,Major E,StoreCard,Professional,47,2,83600,150.53
Male,Major A,DebitCard,Professional,46,4,51000,150.44
Male,Major A,Cash,Owners,66,2,37300,150.43
Female,Major B,StoreCard,Other,25,1,32200,150.28
Female,Major A,Cash,Retired,74,2,36600,150.28
Female,Major D,Check,Other,57,1,52400,150.27
Male,Minor A,Cash,Retired,26,2,18600,150.2
Female,Other,Check,Other,53,1,69400,150.06
Female,Major D,Cash,Service,35,4,88000,150.06
Male,Other,StoreCard,Laborer,50,3,32800,150.06
Female,Regional C,StoreCard,Professional,56,4,36600,150.02
Female,Major D,StoreCard,Owners,21,2,1000,149.98
Male,Regional D,StoreCard,Retired,55,3,400,149.98
Male,Other,Cash,Other,41,8,14800,149.94
Female,Other,Other,Military,44,4,9150,149.89
Male,Regional D,StoreCard,Retired,47,2,14750,149.89
Female,Major D,Check,Skilled,74,5,11950,149.86
Male,Other,StoreCard,Retired,31,1,23100,149.85
Female,Major E,StoreCard,Retired,73,1,47400,149.79
Female,Other,Cash,Other,32,2,13150,149.76
Female,Major B,Cash,Other,32,1,2400,149.72
Male,Other,Check,Skilled,22,2,5550,149.71
Female,Major D,StoreCard,Other,32,4,33100,149.69
Male,Regional D,StoreCard,Other,37,3,3800,149.61
Female,Other,Check,Owners,76,2,33600,149.6
Female,Regional C,Cash,Other,46,2,69400,149.56
Female,Major E,StoreCard,Other,28,2,32700,149.53
Male,Major B,StoreCard,Other,65,3,37300,149.53
Female,Major A,Cash,Other,35,2,41700,149.48
Male,Other,StoreCard,Professional,49,2,68300,149.41
Male,Major D,StoreCard,Service,55,6,37000,149.32
Female,Regional D,Cash,Retired,24,1,85200,149.25
Male,Major B,StoreCard,Owners,37,2,89600,149.2
Female,Major A,DebitCard,Other,28,2,4950,149.13
Male,Major E,StoreCard,Retired,46,2,40000,149.01
Female,Major B,Check,Skilled,29,2,51700,148.99
Male,Major A,Cash,Skilled,37,3,33200,148.95
Male,Other,Cash,Owners,85,3,22800,148.91
Female,Regional C,Cash,Skilled,64,3,41200,148.89
Male,Major E,Cash,Skilled,39,2,71000,148.89
Male,Other,Cash,Retired,25,2,10250,148.88
Female,Major B,StoreCard,Owners,49,1,45600,148.84
Female,Major A,Cash,Owners,75,3,11250,148.83
Female,Regional C,Cash,Owners,54,3,4900,148.67
Male,Major E,StoreCard,Skilled,69,2,14200,148.66
Male,Regional C,Cash,Retired,41,1,52000,148.61
Female,Regional D,Cash,Retired,32,1,34300,148.58
Female,Major D,Check,Other,32,2,65500,148.54
Male,Major E,StoreCard,Other,25,4,11550,148.52
Female,Major D,StoreCard,Sales,23,3,72100,148.5
Male,Regional C,StoreCard,Retired,42,2,0,148.47
Male,Major E,Check,Retired,28,1,19700,148.45
Male,Regional D,StoreCard,Skilled,41,4,47800,148.44
Male,Major A,DebitCard,Other,43,2,63300,148.4
Male,Other,Cash,Retired,28,2,15300,148.37
Male,Regional C,DebitCard,Retired,43,2,52000,148.32
Male,Regional B,Check,Other,57,1,77100,148.32
Male,Major B,Check,Other,37,2,23200,148.27
Female,Major E,StoreCard,Other,41,4,71900,148.14
Female,Major A,Cash,Retired,71,2,5250,148.05
Female,Major A,Cash,Retired,26,2,43300,148.05
Female,Major B,Check,Other,50,2,0,148.04
Female,Major B,Cash,Service,25,1,45000,148.04
Female,Major B,StoreCard,Professional,35,6,17250,148.03
Male,Other,Cash,Other,42,3,7850,147.99
Male,Other,Cash,Farm,75,5,68200,147.99
Female,Major B,Cash,Retired,34,2,11450,147.96
Female,Major D,Check,Retired,67,2,41200,147.96
Female,Other,Cash,Other,26,2,29300,147.95
Female,Major A,Cash,Professional,55,2,1000,147.94
Male,Regional A,Cash,Owners,28,1,40800,147.9
Male,Regional C,Cash,Other,36,4,73900,147.86
Male,Major D,Check,Professional,37,2,35000,147.84
Female,Other,Cash,Other,69,1,35400,147.81
Female,Other,Cash,Sales,31,2,46400,147.8
Female,Major D,Check,Professional,56,4,63300,147.72
Male,Regional B,Check,Professional,59,2,33500,147.67
Female,Major A,Cash,Retired,55,2,69300,147.64
Female,Major A,DebitCard,Sales,66,4,55600,147.62
Male,Major B,StoreCard,Other,72,4,36100,147.61
Female,Other,StoreCard,Professional,46,3,62900,147.59
Male,Major A,Cash,Professional,66,3,37800,147.55
Female,Major A,Cash,Owners,62,4,88500,147.51
Female,Other,Cash,Service,50,1,52100,147.5
Female,Major A,Cash,Owners,36,4,19400,147.48
Female,Major A,Cash,Other,30,3,39000,147.41
Female,Major B,Check,Retired,26,2,24900,147.4
Male,Major D,StoreCard,Service,37,2,42500,147.39
Female,Major B,Check,Professional,60,1,65400,147.31
Female,Regional D,StoreCard,Retired,61,2,83100,147.3
Male,Major A,Cash,Service,40,1,56500,147.27
Female,Regional C,DebitCard,Retired,43,2,55300,147.25
Female,Major B,Cash,Other,64,1,43000,147.22
Female,Major D,Check,Other,52,1,4450,147.15
Female,Major B,Check,Owners,39,2,66100,147.12
Male,Major A,Cash,Professional,79,2,4850,147.1
Female,Major B,StoreCard,Service,84,4,14100,147.09
Male,Major E,StoreCard,Retired,73,1,41700,147.09
Female,Major A,DebitCard,Professional,40,2,22500,147.05
Female,Other,Cash,Professional,39,3,0,146.99
Female,Major B,Check,Other,80,1,26700,146.95
Male,Major A,Cash,Professional,46,4,43200,146.8
Male,Other,Cash,Skilled,67,3,52400,146.72
Female,Regional D,Check,Owners,62,4,0,146.7
Female,Major B,Check,Other,35,2,51500,146.67
Female,Regional B,Cash,Retired,73,2,16000,146.65
Male,Major A,Check,Retired,50,2,71700,146.63
Male,Major D,Check,Professional,40,4,13650,146.62
Male,Major B,Cash,Clerical,35,8,62000,146.58
Female,Major D,StoreCard,Professional,32,1,73000,146.56
Female,Major D,Check,Retired,43,2,42900,146.54
Female,Major B,StoreCard,Service,48,2,54700,146.53
Female,Major D,Cash,Other,38,4,400,146.47
Male,Major B,Cash,Laborer,65,2,37100,146.46
Female,Regional D,StoreCard,Other,48,2,30000,146.4
Male,Major B,Cash,Owners,37,2,83100,146.34
Male,Other,Cash,Other,54,1,500,146.33
Female,Major A,Cash,Professional,41,2,11250,146.23
Female,Major A,DebitCard,Owners,31,3,0,146.08
Male,Major A,Cash,Skilled,31,4,41800,146.07
Female,Major D,StoreCard,Retired,33,2,77200,146.06
Female,Major E,Cash,Professional,50,2,0,146.03
Male,Regional C,StoreCard,Retired,32,2,32600,145.99
Female,Major B,StoreCard,Other,48,1,21300,145.98
Female,Other,Cash,Professional,53,2,58700,145.98
Male,Regional C,StoreCard,Professional,44,2,83000,145.98
Female,Major B,StoreCard,Service,40,3,26700,145.97
Female,Regional C,Check,Owners,39,2,1100,145.96
Male,Regional C,StoreCard,Owners,54,2,27200,145.95
Male,Major D,StoreCard,Other,82,4,22200,145.94
Female,Regional B,Check,Owners,58,5,51900,145.92
Female,Major B,Cash,Professional,62,2,57200,145.91
Male,Major E,StoreCard,Professional,51,3,18900,145.91
Male,Other,Cash,Other,28,3,1100,145.87
Male,Major A,Cash,Service,40,1,50800,145.87
Female,Major D,StoreCard,Retired,62,2,17900,145.85
Female,Major D,StoreCard,Other,44,2,37800,145.85
Female,Regional C,StoreCard,Professional,38,3,32900,145.7
Male,Major B,StoreCard,Other,56,3,1600,145.7
Female,Major B,StoreCard,Professional,39,2,16550,145.69
Female,Major E,StoreCard,Other,51,1,63300,145.67
Female,Major A,Cash,Other,37,1,57000,145.66
Male,Major D,Check,Professional,40,4,12550,145.65
Female,Major E,StoreCard,Service,63,5,0,145.63
Female,Major B,StoreCard,Professional,37,3,7350,145.58
Female,Major D,Cash,Other,25,1,68800,145.51
Female,Major B,Cash,Retired,44,2,71800,145.51
Male,Major D,Check,Professional,65,4,9250,145.49
Female,Major D,Check,Other,33,2,67500,145.48
Female,Major B,StoreCard,Owners,54,1,0,145.41
Female,Major B,StoreCard,Other,41,2,37000,145.41
Male,Major D,Check,Other,28,1,45000,145.41
Male,Other,Cash,Other,82,3,26700,145.4
Female,Other,StoreCard,Retired,51,2,90700,145.36
Male,Major B,Cash,Other,58,4,86800,145.36
Female,Other,Cash,Other,40,3,53200,145.35
Female,Other,Check,Professional,39,3,0,145.31
Male,Major A,DebitCard,Other,31,2,86700,145.31
Female,Major B,Cash,Other,69,1,36000,145.3
Female,Major A,Check,Skilled,60,3,37700,145.3
Female,Major B,DebitCard,Service,69,4,46600,145.25
Female,Major A,Cash,Retired,37,2,21000,145.24
Female,Major B,StoreCard,Owners,59,4,13300,145.2
Female,Major B,StoreCard,Service,62,2,25200,145.18
Female,Major A,Cash,Retired,46,3,32000,145.15
Male,Major B,Cash,Other,38,3,54500,145.14
Female,Other,Cash,Owners,29,4,24900,145.06
Female,Major A,Cash,Other,27,3,59500,145.02
Female,Major A,Cash,Other,42,2,83200,145.01
Male,Major B,StoreCard,Owners,21,1,32600,144.98
Female,Major A,DebitCard,Other,63,2,64900,144.96
Male,Major A,Cash,Other,78,1,14850,144.96
Male,Major D,Check,Professional,53,3,71000,144.96
Male,Regional A,Check,Service,39,4,56400,144.92
Female,Major A,Cash,Skilled,35,7,0,144.88
Male,Major E,Check,Professional,33,2,82600,144.78
Female,Major E,Check,Owners,37,2,57800,144.71
Female,Major D,StoreCard,Other,32,2,44200,144.69
Female,Regional B,Cash,Owners,39,3,43800,144.64
Male,Major A,Cash,Laborer,74,2,25400,144.64
Male,Major B,StoreCard,Owners,50,2,46800,144.64
Female,Other,StoreCard,Professional,33,4,91300,144.63
Male,Minor C,Check,Professional,84,5,59200,144.59
Female,Regional D,Cash,Skilled,34,2,20600,144.58
Male,Regional D,StoreCard,Other,44,1,23300,144.58
Female,Major D,StoreCard,Other,60,1,34900,144.55
Female,Major B,StoreCard,Sales,66,2,82900,144.54
Female,Major E,Check,Skilled,80,4,5450,144.52
Female,Major A,Cash,Retired,70,2,0,144.44
Male,Major D,DebitCard,Other,23,3,38500,144.4
Male,Major A,Cash,Retired,31,2,85600,144.4
Male,Major E,StoreCard,Other,44,2,0,144.39
Female,Regional C,StoreCard,Service,67,3,12750,144.34
Female,Regional C,Cash,Skilled,29,2,37100,144.31
Female,Major D,Check,Other,65,4,28400,144.28
Female,Major E,StoreCard,Retired,78,1,5950,144.27
Female,Major A,Cash,Other,41,1,32900,144.26
Male,Major D,Check,Other,69,2,15600,144.25
Female,Major E,StoreCard,Owners,57,3,0,144.22
Female,Major E,Check,Service,43,5,1900,144.2
Female,Regional C,StoreCard,Other,30,3,40600,144.19
Female,Major E,StoreCard,Skilled,30,4,71600,144.19
Female,Major B,StoreCard,Other,75,1,15750,144.17
Male,Major A,Cash,Retired,26,1,46200,144.15
Male,Major A,Cash,Retired,29,2,12150,144.09
Male,Major B,StoreCard,Other,56,1,4600,144.07
Male,Major D,Check,Other,35,1,55500,144.04
Female,Regional D,StoreCard,Skilled,64,4,300,144.01
Female,Major A,Cash,Skilled,41,3,62300,144
Male,Major E,Cash,Retired,63,5,52100,143.98
Male,Major B,Check,Professional,50,2,84800,143.98
Female,Regional A,StoreCard,Owners,61,4,20000,143.97
Female,Major E,Check,Professional,40,1,56500,143.95
Female,Major A,DebitCard,Professional,37,1,39800,143.93
Female,Major B,StoreCard,Owners,26,1,52400,143.93
Female,Major A,Cash,Owners,53,2,59100,143.8
Female,Major A,Cash,Retired,49,2,7600,143.76
Female,Major B,DebitCard,Skilled,55,5,45800,143.76
Female,Major E,StoreCard,Professional,47,2,41200,143.75
Female,Major A,Cash,Sales,64,3,6150,143.74
Female,Major A,Cash,Owners,24,3,29500,143.69
Female,Regional D,StoreCard,Sales,31,1,40800,143.62
Female,Regional A,Check,Military,41,4,7900,143.58
Male,Major D,Cash,Other,81,2,53000,143.57
Female,Major D,Check,Retired,78,2,13500,143.52
Female,Major B,StoreCard,Retired,19,1,12800,143.49
Female,Major A,Cash,Other,25,4,42600,143.49
Female,Major B,StoreCard,Professional,35,6,14150,143.48
Female,Regional C,DebitCard,Owners,44,1,0,143.35
Male,Major D,Cash,Retired,70,2,71700,143.34
Female,Major D,Check,Professional,49,3,50300,143.33
Male,Major B,Check,Sales,26,2,19200,143.33
Male,Other,Check,Sales,50,2,68100,143.29
Male,Major B,Cash,Laborer,46,2,53600,143.28
Male,Regional B,StoreCard,Retired,39,2,9650,143.26
Female,Other,Cash,Other,55,1,42100,143.23
Male,Major D,Cash,Owners,44,8,50900,143.19
Female,Major B,StoreCard,Professional,64,3,13650,143.03
Male,Major D,Cash,Skilled,45,4,89300,143.01
Female,Major A,Cash,Retired,28,2,51400,142.89
Male,Regional D,Check,Other,75,5,8550,142.88
Female,Other,StoreCard,Owners,52,4,91100,142.85
